actor,movie_or_TV_name
Giovanni Ivan Scratuglia,"Texas, Adios"
Giovanni Ivan Scratuglia,Vengeance
Giovanni Ivan Scratuglia,Bora Bora
Giovanni Ivan Scratuglia,The Witch
Giovanni Ivan Scratuglia,Catch As Catch Can
Giovanni Ivan Scratuglia,The Prophet
Giovanni Ivan Scratuglia,The Violent Four
Giovanni Ivan Scratuglia,I Married You for Fun
Giovanni Ivan Scratuglia,Un brivido sulla pelle
Giovanni Ivan Scratuglia,"The Handsome, The Ugly, And The Stupid"
Giovanni Ivan Scratuglia,"Killer 77, Alive or Dead"
Giovanni Ivan Scratuglia,Desert Commandos
Giovanni Ivan Scratuglia,L'Ottimista Sorridente
Giovanni Ivan Scratuglia,Gun Shy Piluk
Giovanni Ivan Scratuglia,Bandits in Rome
Giovanni Ivan Scratuglia,Vengeance for Vengeance
Giovanni Ivan Scratuglia,Sheriff With the Gold
Giovanni Ivan Scratuglia,Black Jack
Giovanni Ivan Scratuglia,I Protect Myself Against My Enemies
Giovanni Ivan Scratuglia,"Don't Wait, Django… Shoot!"
Giovanni Ivan Scratuglia,Thompson 1880
Giovanni Ivan Scratuglia,Kill and Pray
Giovanni Ivan Scratuglia,A Man Called Amen
Giovanni Ivan Scratuglia,Colpo sensazionale al servizio del Sifar
Giovanni Ivan Scratuglia,The Tiger and the Pussycat
Giovanni Ivan Scratuglia,Why Go On Killing?
Giovanni Ivan Scratuglia,The 10th Victim
Giovanni Ivan Scratuglia,I'll Die for Vengeance
Giovanni Ivan Scratuglia,Last of the Badmen
Giovanni Ivan Scratuglia,The Girl with a Pistol
Giovanni Ivan Scratuglia,Ballad of a Gunman
Giovanni Ivan Scratuglia,The Reluctant Saint
Giovanni Ivan Scratuglia,Theorem
Giovanni Ivan Scratuglia,Colt in the Hand of the Devil
Giovanni Ivan Scratuglia,The Devil in Love
Giovanni Ivan Scratuglia,"Io non protesto, io amo"
Giovanni Ivan Scratuglia,Every Man Is My Enemy
Giovanni Ivan Scratuglia,"Django, Prepare a Coffin"
Giovanni Ivan Scratuglia,Say Your Prayers... and Dig Your Grave!
Giovanni Ivan Scratuglia,The Ruthless Four
Giovanni Ivan Scratuglia,The Hellbenders
Simón Arriaga,The Hellbenders
Simón Arriaga,Billy the Kid
Simón Arriaga,Compañeros
Simón Arriaga,La curiosa
Simón Arriaga,Seven Golden Men Strike Again
Simón Arriaga,El señor está servido
Simón Arriaga,Poachers
Simón Arriaga,The Implacable Three
Simón Arriaga,The Guerrilla
Simón Arriaga,Rattler Kid
Simón Arriaga,The Devil's Possessed
Simón Arriaga,Sonny and Jed
Simón Arriaga,Cut-Throats Nine
Simón Arriaga,El Condor
Simón Arriaga,"A la Legión le gustan las mujeres… y a las mujeres, les gusta la Legión"
Simón Arriaga,Graf Luckner
Simón Arriaga,Santo vs. Doctor Death
Simón Arriaga,Django
Simón Arriaga,The Shadow of Zorro
Simón Arriaga,La Carmen
Simón Arriaga,Tombs of the Blind Dead
Simón Arriaga,The Man Who Killed Billy the Kid
Simón Arriaga,A Prewar Grandmother
Simón Arriaga,The Mercenary
Simón Arriaga,La casa de las Chivas
Simón Arriaga,Lo verde empieza en los Pirineos
Simón Arriaga,Gunfighters of Casa Grande
Simón Arriaga,Navajo Joe
Simón Arriaga,Torrejón City
Simón Arriaga,What Am I Doing in the Middle of the Revolution?
Simón Arriaga,Sabata the Killer
Simón Arriaga,Polvo eres...
Loredana Nusciak,Two Vikings
Loredana Nusciak,Tiffany Memorandum
Loredana Nusciak,La banda Casaroli
Loredana Nusciak,Vengeance for Vengeance
Loredana Nusciak,Gladiators 7
Loredana Nusciak,God Will Forgive My Pistol
Loredana Nusciak,Yesterday - vacanze al mare
Loredana Nusciak,"$10,000 for a Massacre"
Loredana Nusciak,Z7 Operation Rembrandt
Loredana Nusciak,Siamo tutti pomicioni
Loredana Nusciak,I motorizzati
Loredana Nusciak,Django
Loredana Nusciak,Seven Dollars on Red
Loredana Nusciak,Mad Enough to Kill
Loredana Nusciak,Silent Action
Loredana Nusciak,Colossus and the Amazon Queen
Loredana Nusciak,Superargo vs Diabolicus
Loredana Nusciak,Les baisers
Loredana Nusciak,Sodom and Gomorrah
Loredana Nusciak,Il morbidone
Loredana Nusciak,Man from Canyon City
Loredana Nusciak,The Fall of Rome
Loredana Nusciak,Smog
Loredana Nusciak,Seven from Thebes
Loredana Nusciak,Something Creeping in the Dark
Loredana Nusciak,Tony Arzenta
Eduardo Fajardo,Agustina of Aragon
Eduardo Fajardo,Curro Jiménez
Eduardo Fajardo,Compañeros
Eduardo Fajardo,Operation Apocalypse
Eduardo Fajardo,A Stranger in Paso Bravo
Eduardo Fajardo,Las hijas del Zorro
Eduardo Fajardo,La ciudad de los niños
Eduardo Fajardo,El último viaje
Eduardo Fajardo,Master Stroke
Eduardo Fajardo,"Café, coca y puro"
Eduardo Fajardo,Sharon vestida de rojo
Eduardo Fajardo,Macario
Eduardo Fajardo,Don Quixote
Eduardo Fajardo,Exterminators of the Year 3000
Eduardo Fajardo,"Robin Hood, Arrow, Beans and Karate"
Eduardo Fajardo,¿Quién soy yo?
Eduardo Fajardo,Viva Cangaceiro
Eduardo Fajardo,Death in the Vatican
Eduardo Fajardo,Convoy Buddies
Eduardo Fajardo,Bad Man's River
Eduardo Fajardo,El último proceso en París
Eduardo Fajardo,¡Esto es un atraco!
Eduardo Fajardo,La Leona de Castilla
Eduardo Fajardo,Satan's Profile
Eduardo Fajardo,One by One
Eduardo Fajardo,El taxi de los conflictos
Eduardo Fajardo,Locura de amor
Eduardo Fajardo,Cry Chicago
Eduardo Fajardo,A Woman's Pride
Eduardo Fajardo,"Ringo, the Mark of Vengeance"
Eduardo Fajardo,Las nenas del mini-mini
Eduardo Fajardo,The Mercenary
Eduardo Fajardo,Cuatro noches de boda
Eduardo Fajardo,El Curioso Impertinente
Eduardo Fajardo,Killer Adios
Eduardo Fajardo,Noche de Reyes
Eduardo Fajardo,"Adios, Hombre"
Eduardo Fajardo,At the End of the Rainbow
Eduardo Fajardo,Las últimas banderas
Eduardo Fajardo,Trap for Seven Spies
Eduardo Fajardo,The Call of Sex
Eduardo Fajardo,The Tough One
Eduardo Fajardo,Erik the Viking
Eduardo Fajardo,Sergeant Berry
Eduardo Fajardo,Heroes del 95
Eduardo Fajardo,The Shack
Eduardo Fajardo,Seven Jackals
Eduardo Fajardo,Tequila!
Eduardo Fajardo,Eagles Over London
Eduardo Fajardo,The Hyena
Eduardo Fajardo,A Gun for One Hundred Graves
Eduardo Fajardo,"Guapa, rica y... especial"
Eduardo Fajardo,Shango
Eduardo Fajardo,Pas de panique
Eduardo Fajardo,The Shark Hunter
Eduardo Fajardo,Argoman the Fantastic Superman
Eduardo Fajardo,Venus de fuego
Eduardo Fajardo,Django
Eduardo Fajardo,Doctor Justice
Eduardo Fajardo,La ciudad no es para mí
Eduardo Fajardo,Ace of Hearts
Eduardo Fajardo,Dulcinea
Eduardo Fajardo,School for Buglars
Eduardo Fajardo,The Lonely Woman
Eduardo Fajardo,Reckless
Eduardo Fajardo,Apocalypse Joe
Eduardo Fajardo,Go For Broke
Eduardo Fajardo,Yankee Dudler
Eduardo Fajardo,Cross of the Devil
Eduardo Fajardo,El Bandido Malpelo
Eduardo Fajardo,Knife of Ice
Eduardo Fajardo,Love Charm
Eduardo Fajardo,Tristeza de Amor
Eduardo Fajardo,El lago de las vírgenes
Eduardo Fajardo,Conquest
Eduardo Fajardo,Ringo's Big Night
Eduardo Fajardo,The Crying Woman
Eduardo Fajardo,De mujer a mujer
Eduardo Fajardo,What Am I Doing in the Middle of the Revolution?
Eduardo Fajardo,Your Sweet Body to Kill
Eduardo Fajardo,Magic Powder
Eduardo Fajardo,An Ordinary Woman
Eduardo Fajardo,The House of Exorcism
Eduardo Fajardo,"El bueno, la bomba y el malo"
Eduardo Fajardo,Yellow Hair and the Fortress of Gold
Eduardo Fajardo,The Scarlet Letter
Eduardo Fajardo,Tizoc
Eduardo Fajardo,Hundra
Eduardo Fajardo,Beyond the End of the World
Eduardo Fajardo,It's Not Good for a Man to Be Alone
Eduardo Fajardo,The Important Man
Eduardo Fajardo,Murders in Chicago
Eduardo Fajardo,The Adolescents
Eduardo Fajardo,Mare nostrum
Eduardo Fajardo,No le busques tres pies...
Eduardo Fajardo,The Two Faces of Fear
Eduardo Fajardo,The Killer with a Thousand Eyes
Eduardo Fajardo,I due toreri
Eduardo Fajardo,The Intruder
Eduardo Fajardo,They Paid with Bullets: Chicago 1929
Eduardo Fajardo,Fuenteovejuna
Eduardo Fajardo,Pájaros de ciudad
Eduardo Fajardo,The Three Musketeers of the West
Eduardo Fajardo,Ricco
Eduardo Fajardo,Near the city
Eduardo Fajardo,El despertar de los sentidos
Eduardo Fajardo,"Bangkok, City of the Dead"
Eduardo Fajardo,Biting Life
Eduardo Fajardo,Gentleman Killer
Eduardo Fajardo,Father Jackleg
Eduardo Fajardo,Una chica y un señor
Eduardo Fajardo,Dawn of America
Eduardo Fajardo,Lone and Angry Man
Eduardo Fajardo,Gloria Mairena
Eduardo Fajardo,Delusions of Grandeur
Eduardo Fajardo,Nightmare City
Eduardo Fajardo,"Life, Love and Death"
Eduardo Fajardo,Death Knows No Time
Eduardo Fajardo,Bootleggers
Eduardo Fajardo,Las marginadas
Eduardo Fajardo,La duquesa de Benamejí
Eduardo Fajardo,Vultures Over the City
Eduardo Fajardo,The Knave
Eduardo Fajardo,The Killer Must Kill Again
Eduardo Fajardo,The Four Musketeers
Eduardo Fajardo,Murder Mansion
Eduardo Fajardo,Lucecita
Eduardo Fajardo,Sonny and Jed
Eduardo Fajardo,Toda una vida
Eduardo Fajardo,Los Gozos y las Sombras
Eduardo Fajardo,Counselor at Crime
Eduardo Fajardo,La ragazza dalla pelle di corallo
Eduardo Fajardo,Los flamencos
Eduardo Fajardo,"Loyola, the Soldier Saint"
Eduardo Fajardo,Satan's Five Warnings
Eduardo Fajardo,L'Homme de Suez
Eduardo Fajardo,Evil Eye
Eduardo Fajardo,Barcelona Kill
Eduardo Fajardo,Neurosis
Eduardo Fajardo,Airport
Eduardo Fajardo,Tres mujeres de hoy
Eduardo Fajardo,Don't Turn the Other Cheek
Eduardo Fajardo,Last of the Badmen
Eduardo Fajardo,Mission Phantom
Eduardo Fajardo,El mesón del gitano
Eduardo Fajardo,Noche de reyes
Eduardo Fajardo,Lisa and the Devil
Eduardo Fajardo,Valley of the Dancing Widows
Eduardo Fajardo,The Brother from Space
Eduardo Fajardo,"Agent 3S3, Massacre in the Sun"
Eduardo Fajardo,El sótano
Eduardo Fajardo,La Barraca
Eduardo Fajardo,La engañadora
Eduardo Fajardo,Transplant of a Brain
Eduardo Fajardo,Assault on Fort Texan
Eduardo Fajardo,Black Jack
Eduardo Fajardo,Sabata the Killer
Ángel Álvarez,Agustina of Aragon
Ángel Álvarez,Curro Jiménez
Ángel Álvarez,Fray Escoba
Ángel Álvarez,Nadie lo sabrá
Ángel Álvarez,El puente de la paz
